,Accession,Actual Flag,My Flag
0,MN559751,3'NCR-ext,3'NCR-ext
1,MG830515,3'NCR-del,3'NCR-del
2,CY263653,3'NCR-ins,3'NCR-ins
3,MG920797,3'NCR-ins,3'NCR-ins
4,CY263881,CDS-3Xdel,CDS-3Xdel
5,MG921150,3'NCR-ins,3'NCR-ins
6,MG921160,3'NCR-ins,3'NCR-ins
7,MG830553,5'NCR-del,Pass
8,MG921317,3'NCR-ins,3'NCR-ins
9,MG830490,5'NCR-del,Pass
10,CY262880,CDS-ins,Pass
11,MH362842,3'NCR-ins,3'NCR-ins
12,MH135981,3'NCR-ins,3'NCR-ins
13,MH130749,5'NCR-del,Pass
14,MH362866,3'NCR-ins,3'NCR-ins
15,MH363497,5'NCR-del,Pass
16,MH130987,3'NCR-ins,3'NCR-ins
17,MH245269,5'NCR-del,5'NCR-del
18,MH131102,3'NCR-ins,3'NCR-ins
19,MH135852,3'NCR-del,3'NCR-del
20,MH245314,CDS-3Xdel,CDS-3Xdel
21,MH245668,3'NCR-ins,3'NCR-ins
22,MH130788,3'NCR-del,3'NCR-del
23,MH081456,3'NCR-del,3'NCR-del
24,MH581666,5'NCR-del,Pass
25,MH791491,3'NCR-del,Pass
26,MH706070,3'NCR-ins,3'NCR-ins
27,MH584447,CDS-3Xdel,CDS-3Xdel
28,MH604857,3'NCR-del,3'NCR-del
29,MH581616,3'NCR-del,3'NCR-del
30,MH581756,3'NCR-ins,3'NCR-ins
31,MH581839,3'NCR-ins,3'NCR-ins
32,MH583097,5'NCR-del,5'NCR-del
33,MH726834,5'NCR-del,5'NCR-del
34,MH606263,5'NCR-del,5'NCR-del
35,MH604912,5'NCR-ins,5'NCR-ins
36,MH606428,CDS-3Xdel,CDS-3Xdel
37,MH585743,3'NCR-del,3'NCR-del
38,MH581632,3'NCR-del,3'NCR-del
39,MH671714,5'NCR-del,5'NCR-del
40,MK380381,CDS-3Xdel,CDS-3Xdel
41,NC_002207,5'CTS-mut,5'CTS-mut
42,MK244698,3'NCR-del,3'NCR-del
43,MK625982,3'NCR-ins,3'NCR-ins
44,MK630612,3'NCR-del,3'NCR-del
45,MK857918,5'NCR-ins,5'NCR-ins
46,MK857795,3'NCR-ins,3'NCR-ins
47,MK680504,3'NCR-ext,3'NCR-ext
48,MK715550,3'NCR-ins,3'NCR-ins
49,MN085671,3'NCR-ins,3'NCR-ins
50,MN156131,3'NCR-del,3'NCR-del
51,MK969195,CDS-3Xdel,CDS-3Xdel
52,MN086212,3'NCR-ins,3'NCR-ins
53,MN086056,3'NCR-ins,3'NCR-ins
54,MK961689,CDS-3Xdel,CDS-3Xdel
55,MN155806,3'NCR-del,3'NCR-ins
56,MN155806,3'CTS-mut,3'NCR-ins
57,MH684330,3'NCR-del,3'NCR-del
58,MH684330,5'NCR-ext,5'NCR-ext
59,MH684330,5'CTS-mut,3'NCR-del
60,MH684330,5'CTS-mut,3'NCR-del
61,MK961802,3'NCR-del,Pass
62,MK998796,3'NCR-ins,3'NCR-ins
63,MK999234,3'NCR-del,3'NCR-del
64,MN085890,3'NCR-del,3'NCR-del
65,MN230686,5'NCR-del,5'NCR-del
66,MN371707,3'NCR-del,3'NCR-del
67,MN230291,3'NCR-del,3'NCR-del
68,MN493624,5'NCR-del,5'NCR-del
69,CY263891,3'NCR-del,Pass
70,MG830657,3'NCR-ins,3'NCR-ins
71,CY263806,3'NCR-ins,3'NCR-ins
72,MG925828,3'CTS-mut,3'NCR-del
73,MG920839,3'NCR-ins,3'NCR-ins
74,MG920850,3'NCR-ins,3'NCR-ins
75,MG920339,3'NCR-ins,3'NCR-ins
76,MG925364,3'CTS-mut,3'NCR-del
77,MH671779,5'NCR-del,Pass
78,MG830545,3'NCR-ins,3'NCR-ins
79,MG830507,3'NCR-del,3'NCR-del
80,CY266011,5'NCR-del,5'NCR-del
81,CY263724,3'NCR-del,3'NCR-del
82,MG830523,3'NCR-del,3'NCR-del
83,MH080845,3'NCR-del,3'NCR-del
84,MH080978,3'NCR-ins,3'NCR-ins
85,MH130394,3'NCR-ins,3'NCR-ins
86,MH081072,3'NCR-ins,3'NCR-ins
87,MH130772,3'NCR-del,3'NCR-del
88,MH136187,3'NCR-del,3'NCR-del
89,MH130780,3'NCR-del,3'NCR-del
90,MH136334,5'NCR-del,5'NCR-del
91,MH136344,3'NCR-ins,3'NCR-ins
92,MH130806,3'NCR-ins,3'NCR-ins
93,MH130814,5'NCR-del,Pass
94,MH130904,3'NCR-ins,3'NCR-ins
95,MH130764,3'NCR-del,3'NCR-del
96,MH363090,3'NCR-ins,3'NCR-ins
97,MH245740,5'NCR-del,Pass
98,MH245629,5'NCR-del,5'NCR-del
99,MH363482,3'NCR-ins,3'NCR-ins
100,MH362867,CDS-del,CDS-del
101,MH233693,3'NCR-ins,3'NCR-ins
102,MH581601,5'NCR-del,Pass
103,MH604733,5'NCR-del,Pass
104,MH581640,3'NCR-del,3'NCR-del
105,MH581658,3'NCR-ins,3'NCR-ins
106,MH584572,5'NCR-del,Pass
107,MH607088,3'NCR-ins,3'NCR-ins
108,MH604676,5'NCR-del,5'NCR-del
109,MH604687,3'NCR-del,3'NCR-del
110,MH584470,3'NCR-ins,3'NCR-ins
111,MH585265,5'NCR-ins,3'NCR-del
112,MH606316,CDS-del,CDS-del
113,MH585086,CDS-3Xdel,CDS-3Xdel
114,MH604926,3'NCR-ins,3'NCR-ins
115,NC_002206,3'NCR-ins,CDS-3Xins
116,MH581954,3'NCR-ins,3'NCR-ins
117,MH581624,3'NCR-del,3'NCR-del
118,MK244751,5'NCR-del,5'NCR-del
119,MK292543,3'NCR-ins,3'NCR-ins
120,MK398418,3'NCR-del,3'NCR-del
121,MK474547,3'NCR-ins,3'NCR-ins
122,MK630657,5'NCR-del,5'NCR-del
123,MK625940,3'NCR-del,3'NCR-del
124,MK625951,3'NCR-ins,3'NCR-ins
125,MK630620,3'NCR-del,3'NCR-del
126,MK676205,3'NCR-ins,3'NCR-ins
127,MK715542,3'NCR-ins,3'NCR-ins
128,MK771872,3'NCR-del,3'NCR-del
129,MH684325,5'NCR-ext,5'NCR-ext
130,MH684325,5'CTS-mut,3'NCR-del
131,MH684325,5'CTS-mut,3'NCR-del
132,MH684325,5'CTS-mut,3'NCR-del
133,MH684325,5'NCR-ins,3'NCR-del
134,MH684325,3'NCR-del,3'NCR-del
135,MH684325,3'NCR-del,3'NCR-del
136,MH684325,3'CTS-mut,3'CTS-mut
137,MH684325,3'CTS-mut,3'CTS-mut
138,MK999309,5'NCR-del,5'NCR-del
139,MK969311,CDS-3Xdel,CDS-3Xdel
140,MK969440,CDS-3Xdel,CDS-3Xdel
141,MK995976,3'NCR-ins,3'NCR-ins
142,MK995940,3'NCR-ins,3'NCR-ins
143,MN078746,CDS-3Xdel,CDS-3Xdel
144,MN086300,3'NCR-ext,3'NCR-ext
145,MN086303,3'NCR-ext,3'NCR-ext
146,MN086003,3'NCR-ins,3'NCR-ins
147,MN086210,3'CTS-mut,3'CTS-mut
148,MN086211,3'CTS-mut,3'CTS-mut
149,MN086216,3'CTS-mut,3'CTS-mut
150,MN086294,CDS-del,CDS-ins
151,MN086295,3'NCR-ext,3'NCR-ext
152,MN156143,3'NCR-ins,3'NCR-ins
