Accession,Actual Flag,My Flag,Profile
LC318666,3'NCR-ext,3'NCR-ext,D_2_20170104.afa
MK131025,5'NCR-ext,5'NCR-ext,D_6_20170104.afa
MN165223,3'CTS-mut,3'CTS-mut,D_4_20170104.afa
KX768841,3'NCR-ext,3'NCR-ext,D_4_20170104.afa
MN123870,3'NCR-ext,3'NCR-ext,D_4_20170104.afa
MN123871,3'NCR-ext,3'NCR-ext,D_5_20170104.afa
MN123871,5'CTS-mut,3'NCR-ext,D_5_20170104.afa
MN123871,5'NCR-ext,3'NCR-ext,D_5_20170104.afa
MN123872,5'NCR-ext,5'NCR-ext,D_7_20170104.afa
MN123872,5'CTS-mut,5'CTS-mut,D_7_20170104.afa
MN123872,3'NCR-ext,3'NCR-ext,D_7_20170104.afa
MN123873,3'NCR-ext,3'NCR-ext,D_3_20170104.afa
MN123873,5'NCR-ext,3'NCR-ext,D_3_20170104.afa
MN123873,5'CTS-mut,3'NCR-ext,D_3_20170104.afa
MN123874,5'NCR-ext,3'NCR-ext,D_6_20170104.afa
MN123874,5'CTS-mut,3'NCR-ext,D_6_20170104.afa
MN123874,3'NCR-ext,3'NCR-ext,D_6_20170104.afa
MN123875,5'NCR-ext,3'NCR-ext,D_2_20170104.afa
MN123875,5'CTS-mut,3'NCR-ext,D_2_20170104.afa
MN123875,3'NCR-ext,3'NCR-ext,D_2_20170104.afa
MN123876,3'NCR-ext,3'NCR-ext,D_1_20170104.afa
MN123876,5'CTS-mut,3'NCR-ext,D_1_20170104.afa
MN123876,5'NCR-ext,3'NCR-ext,D_1_20170104.afa
LC128433,Pass,Pass,D_4_20170104.afa
LC128434,Pass,Pass,D_6_20170104.afa
LC128435,Pass,Pass,D_5_20170104.afa
LC128436,Pass,Pass,D_7_20170104.afa
LC128437,Pass,Pass,D_3_20170104.afa
LC128438,Pass,Pass,D_2_20170104.afa
LC128439,Pass,Pass,D_1_20170104.afa
LC270265,Pass,Pass,D_1_20170104.afa
LC270266,Pass,Pass,D_2_20170104.afa
LC270267,Pass,Pass,D_3_20170104.afa
LC270268,Pass,Pass,D_4_20170104.afa
LC270269,Pass,Pass,D_5_20170104.afa
LC270270,Pass,Pass,D_6_20170104.afa
LC270271,Pass,Pass,D_7_20170104.afa
LC318668,Pass,Pass,D_4_20170104.afa
MH785019,Pass,Pass,D_7_20170104.afa
MH785020,Pass,Pass,D_6_20170104.afa
MH785021,Pass,Pass,D_4_20170104.afa
MK054178,Pass,Pass,D_5_20170104.afa
MK054179,Pass,Pass,D_7_20170104.afa
MK054181,Pass,Pass,D_1_20170104.afa
MK054182,Pass,Pass,D_2_20170104.afa
MK101118,Pass,Pass,D_1_20170104.afa
MK101119,Pass,Pass,D_2_20170104.afa
MN123903,Pass,Pass,D_2_20170104.afa
MN123907,Pass,Pass,D_5_20170104.afa
MN123908,Pass,Pass,D_6_20170104.afa
MN123909,Pass,Pass,D_7_20170104.afa
MN123910,Pass,Pass,D_2_20170104.afa
MN123911,Pass,Pass,D_4_20170104.afa
MN123927,Pass,Pass,D_3_20170104.afa
MN123928,Pass,Pass,D_5_20170104.afa
MN123929,Pass,Pass,D_6_20170104.afa
MN123930,Pass,Pass,D_7_20170104.afa
MN123931,Pass,Pass,D_2_20170104.afa
MN165176,Pass,Pass,D_2_20170104.afa
MN165177,Pass,Pass,D_6_20170104.afa
MN165178,Pass,Pass,D_3_20170104.afa
MN165179,Pass,Pass,D_7_20170104.afa
MN165180,Pass,Pass,D_5_20170104.afa
MN165181,Pass,Pass,D_4_20170104.afa
MN165184,Pass,Pass,D_6_20170104.afa
MN165185,Pass,Pass,D_3_20170104.afa
MN165186,Pass,Pass,D_7_20170104.afa
MN165187,Pass,Pass,D_5_20170104.afa
MN165188,Pass,Pass,D_4_20170104.afa
MN165189,Pass,Pass,D_1_20170104.afa
MN165190,Pass,Pass,D_2_20170104.afa
MN165191,Pass,Pass,D_6_20170104.afa
MN165192,Pass,Pass,D_3_20170104.afa
MN165193,Pass,Pass,D_7_20170104.afa
MN165196,Pass,Pass,D_1_20170104.afa
MN165197,Pass,Pass,D_2_20170104.afa
MN165198,Pass,Pass,D_6_20170104.afa
MN165199,Pass,Pass,D_3_20170104.afa
MN165200,Pass,Pass,D_7_20170104.afa
MN165201,Pass,Pass,D_5_20170104.afa
MN173614,Pass,Pass,D_6_20170104.afa
MN173616,Pass,Pass,D_1_20170104.afa
MN173617,Pass,Pass,D_7_20170104.afa
MK054183,Pass,Pass,D_6_20170104.afa
MK054184,Pass,Pass,D_4_20170104.afa
MK131022,Pass,Pass,D_1_20170104.afa
MK131023,Pass,Pass,D_2_20170104.afa
MK131024,Pass,Pass,D_3_20170104.afa
MK131033,Pass,Pass,D_7_20170104.afa
MK131034,Pass,Pass,D_2_20170104.afa
MK131035,Pass,Pass,D_4_20170104.afa
MN123862,Pass,Pass,D_1_20170104.afa
MN123863,Pass,Pass,D_1_20170104.afa
MN123864,Pass,Pass,D_3_20170104.afa
