Accession,Actual Flag,My Flag,Profile
LC327658,Pass,Pass,C_7_20170710.afa
LC327659,Pass,Pass,C_1_20170710.afa
LC327660,Pass,Pass,C_2_20170710.afa
LC327662,Pass,Pass,C_4_20170721.afa
LC385862,Pass,Pass,C_4_20170721.afa
LC385863,Pass,Pass,C_4_20170721.afa
LC385864,Pass,Pass,C_4_20170721.afa
LC385865,Pass,Pass,C_4_20170721.afa
LC385866,Pass,Pass,C_4_20170721.afa
LC385867,Pass,Pass,C_4_20170721.afa
MH348113,Pass,Pass,C_1_20170710.afa
MH348114,Pass,Pass,C_2_20170710.afa
MH348116,Pass,CDS-3Xdel,C_4_20170721.afa
MH348118,Pass,Pass,C_6_20161110.afa
MH348119,Pass,Pass,C_7_20170710.afa
MK050098,Pass,Pass,C_7_20170710.afa
MK050099,Pass,Pass,C_7_20170710.afa
MK050100,Pass,Pass,C_5_20170710.afa
MK050101,Pass,Pass,C_6_20161110.afa
MK050102,Pass,Pass,C_3_20170710.afa
MK050103,Pass,Pass,C_2_20170710.afa
MK050104,Pass,Pass,C_1_20170710.afa
NC_006306,Pass,Pass,C_7_20170710.afa
NC_006310,Pass,Pass,C_4_20170721.afa
KY075641,Pass,Pass,C_1_20170710.afa
KY075642,Pass,Pass,C_6_20161110.afa
LC327652,Pass,Pass,C_1_20170710.afa
LC327653,Pass,Pass,C_2_20170710.afa
LC327656,Pass,Pass,C_5_20170710.afa
LC327657,Pass,Pass,C_6_20161110.afa
LC327663,Pass,Pass,C_5_20170710.afa
LC327664,Pass,Pass,C_6_20161110.afa
LC327665,Pass,Pass,C_7_20170710.afa
LC385861,Pass,Pass,C_4_20170721.afa
MH348115,Pass,Pass,C_3_20170710.afa
MH348117,Pass,Pass,C_5_20170710.afa
MK050092,Pass,Pass,C_4_20170721.afa
MK050093,Pass,Pass,C_4_20170721.afa
MK050094,Pass,Pass,C_4_20170721.afa
MK050095,Pass,Pass,C_7_20170710.afa
MK050096,Pass,Pass,C_7_20170710.afa
MK050097,Pass,Pass,C_7_20170710.afa
LC327654,Pass,Pass,C_3_20170710.afa
LC327655,Pass,Pass,C_4_20170721.afa
LC385858,Pass,Pass,C_4_20170721.afa
LC385860,Pass,Pass,C_4_20170721.afa
MH185829,Pass,Pass,C_4_20170721.afa
MH185830,Pass,Pass,C_4_20170721.afa
MH185831,Pass,Pass,C_4_20170721.afa
MH185832,Pass,Pass,C_4_20170721.afa
MH185833,Pass,Pass,C_4_20170721.afa
MH185834,Pass,Pass,C_4_20170721.afa
MH421864,Pass,Pass,C_6_20161110.afa
MH421865,Pass,Pass,C_6_20161110.afa
NC_006308,Pass,Pass,C_2_20170710.afa
NC_006309,Pass,Pass,C_3_20170710.afa
NC_006311,Pass,Pass,C_5_20170710.afa
NC_006312,Pass,Pass,C_6_20161110.afa
KY075640,Pass,Pass,C_1_20170710.afa
LC327661,Pass,Pass,C_3_20170710.afa
LC385859,Pass,Pass,C_4_20170721.afa
MH421866,Pass,Pass,C_6_20161110.afa
MH421867,Pass,Pass,C_6_20161110.afa
MH421868,Pass,Pass,C_6_20161110.afa
MH421869,Pass,Pass,C_6_20161110.afa
MH421870,Pass,Pass,C_6_20161110.afa
MH421871,Pass,Pass,C_6_20161110.afa
MH421872,Pass,Pass,C_6_20161110.afa
MH421873,Pass,Pass,C_6_20161110.afa
NC_006307,Pass,Pass,C_1_20170710.afa
