,Accession,Actual Flag,My Flag
0,MK248604,3'CTS-ins,3'CTS-ins
1,MK164000,CDS-3Xdel,CDS-3Xdel
2,LC431179,5'CTS-mut,5'CTS-mut
3,MK168400,CDS-3Xdel,CDS-3Xdel
4,CY263368,5'CTS-mut,5'CTS-mut
5,CY263376,5'CTS-mut,5'CTS-mut
6,MG592284,CDS-3Xins,CDS-3Xins
7,MG592284,CDS-3Xins,CDS-3Xins
8,MG592284,CDS-3Xdel,CDS-3Xdel
9,MN530204,Pass,Pass
10,MN530206,Pass,Pass
11,MN638429,Pass,Pass
12,MN638431,Pass,Pass
13,MN638433,Pass,Pass
14,MN638435,Pass,Pass
15,MN410742,Pass,Pass
16,MN410744,Pass,Pass
17,MN410746,Pass,Pass
18,MN410748,Pass,Pass
19,MH682202,CDS-del,CDS-3Xdel
20,MH682202,CDS-del,CDS-3Xdel
21,MH682202,CDS-del,CDS-3Xdel
22,MH682202,CDS-ins,CDS-3Xdel
23,MH061516,3'CTS-mut,3'CTS-mut
24,MH560120,5'NCR-del,5'NCR-del
25,LC208488,5'CTS-mut,5'CTS-mut
26,LC208500,5'CTS-mut,5'CTS-mut
27,LC208500,5'CTS-mut,5'CTS-mut
28,LC208500,5'CTS-mut,5'CTS-mut
29,LC208500,CDS-3Xdel,CDS-3Xdel
30,MG669376,3'CTS-mut,3'CTS-mut
31,MG669376,3'CTS-mut,3'CTS-mut
32,MN252200,CDS-del,Pass
33,MK635985,CDS-del,CDS-del
34,LC367361,5'CTS-mut,5'CTS-mut
35,LC367497,5'CTS-mut,5'CTS-mut
36,MH233630,5'CTS-mut,5'CTS-mut
37,MH597108,5'NCR-del,5'NCR-del
38,MG836824,3'CTS-mut,3'CTS-mut
39,MK077234,5'CTS-mut,5'CTS-mut
40,MK077242,5'CTS-mut,5'CTS-mut
41,CY263376,5'CTS-mut,5'CTS-mut
42,LC371778,5'CTS-mut,5'CTS-del
43,MN061199,5'CTS-mut,5'CTS-mut
44,MN566038,CDS-del,CDS-del
45,MN566038,CDS-del,CDS-del
46,MK168545,5'CTS-mut,5'CTS-mut
47,MK168545,CDS-3Xdel,CDS-3Xdel
48,MK265556,5'CTS-mut,5'CTS-mut
49,MH134672,5'NCR-ins,5'NCR-ins
50,MH134905,5'NCR-ins,5'NCR-ins
51,MK025733,5'CTS-mut,5'CTS-mut
52,MG572479,3'NCR-del,Pass
53,MK963674,5'NCR-del,5'NCR-del
54,LC364326,5'CTS-mut,5'CTS-mut
55,MK964253,5'NCR-del,5'NCR-del
56,MK964309,5'NCR-del,5'NCR-del
57,MH446651,5'CTS-mut,5'CTS-mut
58,MK963760,5'NCR-del,5'NCR-del
59,MF399575,5'NCR-ext,5'NCR-ext
60,MF399575,3'NCR-ext,3'NCR-ext
61,MF399591,5'NCR-ext,5'NCR-ext
62,MF399591,3'NCR-ext,3'NCR-ext
63,MH061709,5'CTS-mut,5'CTS-mut
64,MH061772,5'NCR-del,5'NCR-del
65,MH061772,3'CTS-mut,3'CTS-mut
66,MH356652,CDS-ins,CDS-ins
67,MH356652,CDS-ins,CDS-ins
68,MN083556,5'CTS-mut,5'CTS-mut
69,MH061801,3'CTS-mut,3'CTS-mut
70,LC364296,5'CTS-mut,5'CTS-mut
71,MF099397,5'NCR-del,Pass
72,MH359856,5'CTS-mut,5'CTS-mut
73,MH791669,3'CTS-mut,3'CTS-mut
74,MH105297,3'NCR-del,3'NCR-del
75,MK554069,CDS-del,Pass
76,MN083403,5'CTS-mut,5'CTS-mut
77,MH791598,3'CTS-mut,3'CTS-mut
78,MN570649,3'CTS-mut,3'CTS-mut
79,MH127648,CDS-del,CDS-del
80,MH061689,3'CTS-mut,3'CTS-mut
81,MG836781,3'CTS-mut,3'CTS-mut
82,MH061521,3'CTS-mut,3'CTS-mut
83,MH061737,3'CTS-mut,3'CTS-mut
84,MN252151,CDS-del,Pass
85,MN252156,CDS-del,Pass
86,MH061620,5'NCR-del,3'CTS-mut
87,MH061620,3'CTS-mut,3'CTS-mut
88,MH061740,3'NCR-del,3'NCR-del
89,MH061500,5'NCR-ext,5'NCR-ext
90,MH061500,5'CTS-mut,5'CTS-mut
91,MG781101,3'CTS-mut,3'CTS-mut
92,MG781101,3'CTS-mut,3'CTS-mut
93,MG781101,3'CTS-mut,3'CTS-mut
94,MG781101,3'CTS-mut,3'CTS-mut
95,MH744650,3'CTS-mut,3'CTS-mut
96,MH744650,3'CTS-mut,3'CTS-mut
97,MH560246,CDS-3Xdel,CDS-3Xdel
98,MH798598,3'NCR-del,Pass
99,LC374944,5'CTS-mut,5'CTS-mut
100,LC374944,5'CTS-mut,5'CTS-mut
101,LC431436,3'CTS-mut,3'CTS-mut
102,LC431436,3'CTS-mut,3'CTS-mut
103,MF399664,5'NCR-ext,5'NCR-ext
104,MF399664,5'CTS-mut,5'CTS-mut
105,MF399664,3'NCR-ext,3'NCR-ext
106,MH682206,CDS-3Xins,Unknown
107,MH682206,CDS-3Xdel,Unknown
108,MH682206,CDS-3Xdel,Unknown
109,MH682206,CDS-3Xdel,Unknown
110,MH682206,CDS-ins,Unknown
111,MH682206,CDS-ins,Unknown
112,MF399543,5'NCR-ext,5'NCR-ext
113,MF399543,3'NCR-ext,3'NCR-ext
114,MK181937,5'CTS-mut,5'CTS-mut
