,Accession,Actual Flag,My Flag
0,LC327658,Pass,Pass
1,LC327659,Pass,Pass
2,LC327660,Pass,Pass
3,LC327662,Pass,Pass
4,LC385862,Pass,Pass
5,LC385863,Pass,Pass
6,LC385864,Pass,Pass
7,LC385865,Pass,Pass
8,LC385866,Pass,Pass
9,LC385867,Pass,Pass
10,MH348113,Pass,Pass
11,MH348114,Pass,Pass
12,MH348116,Pass,CDS-3Xdel
13,MH348118,Pass,Pass
14,MH348119,Pass,Pass
15,MK050098,Pass,Pass
16,MK050099,Pass,Pass
17,MK050100,Pass,Pass
18,MK050101,Pass,Pass
19,MK050102,Pass,Pass
20,MK050103,Pass,Pass
21,MK050104,Pass,Pass
22,NC_006306,Pass,Pass
23,NC_006310,Pass,Pass
24,KY075641,Pass,Pass
25,KY075642,Pass,Pass
26,LC327652,Pass,Pass
27,LC327653,Pass,Pass
28,LC327656,Pass,Pass
29,LC327657,Pass,Pass
30,LC327663,Pass,Pass
31,LC327664,Pass,Pass
32,LC327665,Pass,Pass
33,LC385861,Pass,Pass
34,MH348115,Pass,Pass
35,MH348117,Pass,Pass
36,MK050092,Pass,Pass
37,MK050093,Pass,Pass
38,MK050094,Pass,Pass
39,MK050095,Pass,Pass
40,MK050096,Pass,Pass
41,MK050097,Pass,Pass
42,LC327654,Pass,Pass
43,LC327655,Pass,Pass
44,LC385858,Pass,Pass
45,LC385860,Pass,Pass
46,MH185829,Pass,Pass
47,MH185830,Pass,Pass
48,MH185831,Pass,Pass
49,MH185832,Pass,Pass
50,MH185833,Pass,Pass
51,MH185834,Pass,Pass
52,MH421864,Pass,Pass
53,MH421865,Pass,Pass
54,NC_006308,Pass,Pass
55,NC_006309,Pass,Pass
56,NC_006311,Pass,Pass
57,NC_006312,Pass,Pass
58,KY075640,Pass,Pass
59,LC327661,Pass,Pass
60,LC385859,Pass,Pass
61,MH421866,Pass,Pass
62,MH421867,Pass,Pass
63,MH421868,Pass,Pass
64,MH421869,Pass,Pass
65,MH421870,Pass,Pass
66,MH421871,Pass,Pass
67,MH421872,Pass,Pass
68,MH421873,Pass,Pass
69,NC_006307,Pass,Pass
